name,opta_name,position,team,opponent,venue,clean_sheet_prob,predicted_fpl_points,goals,assists,shots,sot,passes,tackles,saves,yellows,avg_bps
Rio Ngumoha,R. Ngumoha,MID,Liverpool,Nott'm Forest,Home,41%,5.48,0.36,0.21,2.6,1.02,29.05,0.95,0.0,0.08,3.363636363636364
Federico Chiesa,F. Chiesa,MID,Liverpool,Nott'm Forest,Home,41%,5.48,0.38,0.18,2.59,1.05,19.69,0.76,0.0,0.07,6.909090909090909
Lucas Estella Perri,Lucas Perri,GK,Leeds,Aston Villa,Home,29%,5.47,0.0,0.0,0.0,0.0,30.73,0.03,3.37,0.06,5.454545454545454
Blondy Nna Noukeu,B. Noukeu,GK,Sunderland,Fulham,Away,25%,5.46,0.0,0.0,0.0,0.0,30.98,0.03,3.68,0.07,0.0
Antoine Semenyo,A. Semenyo,MID,Bournemouth,West Ham,Home,38%,5.45,0.4,0.16,2.81,1.1,23.33,0.8,0.0,0.13,19.454545454545453
Stefan Ortega Moreno,S. Ortega,GK,Man City,Newcastle,Away,30%,5.45,0.0,0.0,0.0,0.0,31.63,0.03,3.27,0.06,0.0
Ármin Pécsi,Á. Pécsi,GK,Liverpool,Nott'm Forest,Home,41%,5.44,0.0,0.0,0.0,0.0,25.23,0.02,2.39,0.04,0.0
Karl Darlow,K. Darlow,GK,Leeds,Aston Villa,Home,29%,5.44,0.0,0.0,0.0,0.0,31.44,0.03,3.33,0.06,5.0
Senne Lammens,S. Lammens,GK,Man Utd,Everton,Home,38%,5.43,0.0,0.0,0.0,0.0,31.94,0.02,2.61,0.05,7.875
Alisson Becker,Alisson Becker,GK,Liverpool,Nott'm Forest,Home,41%,5.42,0.0,0.0,0.0,0.0,30.5,0.02,2.36,0.04,8.636363636363637
Hugo Ekitiké,H. Ekitiké,FWD,Liverpool,Nott'm Forest,Home,41%,5.41,0.52,0.16,2.96,1.26,17.16,0.62,0.0,0.07,11.545454545454543
Altay Bayındır,A. Bayındır,GK,Man Utd,Everton,Home,38%,5.4,0.0,0.0,0.0,0.0,26.17,0.02,2.55,0.04,4.454545454545454
Gianluigi Donnarumma,G. Donnarumma,GK,Man City,Newcastle,Away,30%,5.4,0.0,0.0,0.0,0.0,25.67,0.03,3.19,0.06,16.25
Callan McKenna,C. McKenna,GK,Bournemouth,West Ham,Home,38%,5.4,0.0,0.0,0.0,0.0,28.36,0.02,2.55,0.04,0.0
Kai Havertz,K. Havertz,FWD,Arsenal,Spurs,Home,48%,5.39,0.54,0.14,2.95,1.28,17.66,0.63,0.0,0.11,0.3636363636363636
Eberechi Eze,E. Eze,MID,Arsenal,Spurs,Home,48%,5.39,0.36,0.17,2.58,1.03,26.3,0.82,0.0,0.08,13.272727272727272
Estêvão Almeida de Oliveira Gonçalves,Estêvão,MID,Chelsea,Burnley,Away,45%,5.39,0.34,0.21,2.75,1.08,25.77,1.12,0.0,0.11,8.909090909090908
Florian Wirtz,F. Wirtz,MID,Liverpool,Nott'm Forest,Home,41%,5.37,0.31,0.26,2.27,0.9,41.47,0.98,0.0,0.07,8.454545454545455
Tom McGill,T. McGill,GK,Brighton,Brentford,Home,33%,5.36,0.0,0.0,0.0,0.0,29.75,0.02,2.89,0.05,0.0
Francisco Evanilson de Lima Barbosa,Evanilson,FWD,Bournemouth,West Ham,Home,38%,5.36,0.56,0.11,2.83,1.22,13.7,0.33,0.0,0.09,8.363636363636363
Đorđe Petrović,Đ. Petrović,GK,Bournemouth,West Ham,Home,38%,5.36,0.0,0.0,0.0,0.0,26.84,0.02,2.51,0.05,14.909090909090908
Jean-Philippe Mateta,J. Mateta,FWD,Crystal Palace,Wolves,Away,38%,5.35,0.56,0.1,2.79,1.26,12.63,0.38,0.0,0.08,17.363636363636363
James Trafford,J. Trafford,GK,Man City,Newcastle,Away,30%,5.34,0.0,0.0,0.0,0.0,29.8,0.03,3.1,0.06,5.636363636363637
Benjamin Lecomte,B. Lecomte,GK,Fulham,Sunderland,Home,40%,5.33,0.0,0.0,0.0,0.0,29.94,0.02,2.29,0.04,0.0
Freddie Woodman,F. Woodman,GK,Liverpool,Nott'm Forest,Home,41%,5.33,0.0,0.0,0.0,0.0,25.16,0.02,2.22,0.04,0.0
Will Dennis,W. Dennis,GK,Bournemouth,West Ham,Home,38%,5.32,0.0,0.0,0.0,0.0,30.13,0.02,2.42,0.04,0.0
